features,Importance
PARA_A,0.5499645165052612
PARA_B,0.17343555141423117
Sector_score,0.015054838932192874
numbers,0.014000920195684954
LOSS_SCORE,0.014262619638594926
Money_Value,0.04704309185750142
History_score,0.0
District,0.1862384614565334
